"token","value","do not translate","character limit","comment","last updated"
"os_hud_vis_never","Visibilidad: Nunca","","","",""
"os_score_pos","Posición de Puntaje","","","",""
"os_solo_pos","Posición del Solo","","","",""
"os_vox_solo_pos","Tambourine Percentage Position","","","",""
"os_countdown_pos","Break Countdown Position","","","",""
"os_vox_countdown_pos","Vocals Break Countdown Position","","","",""
"os_mtv","Título del Tema...","","","",""
"os_button_prompts","Button Prompts","","","",""
"os_mtv_vis_default","Visibilidad: Por Defecto","","","",""
"os_mtv_vis_always","Visibilidad: Siempre","","","",""
"os_mtv_pos","Posición...","","","",""
"os_currentsong","Mostrar Info...","","","",""
"os_artist_on","Artista: Sí","","","",""
"os_artist_off","Artista: No","","","",""
"os_famous_on","Un clásico por: Sí","","","",""
"os_famous_off","Un clásico por: No","","","",""
"os_album_on","Álbum: Sí","","","",""
"os_album_off","Álbum: No","","","",""
"os_year_on","Año: Sí","","","",""
"os_year_off","Año: No","","","",""
"os_genre_on","Género: Sí","","","",""
"os_genre_off","Género: No","","","",""
"os_source_on","Origen: Sí","","","",""
"os_source_off","Origen: No","","","",""
"os_static_bg","Fondo Estático","","","",""
"big_club_toys","El GRAN Casete","","","",""
"big_club_standard","El Club","","","",""
"big_club_industrial","El Club Industrial","","","",""
"big_club_arcade_empty","El Arcade (1 Espectador)","","","",""
"small_club_industrial","El Granero","","","",""
"small_club_roadhouse","Bar de carretera","","","",""
"small_club_trashed","El Sótano (Destrozado)","","","",""
"arena","La Arena","","","",""
"big_club_practice","La Area de Practica","","","",""
"os_screensaver","Protector de pantalla","","","",""
"os_fast_start_on","Inicio Rápido: Sí","","","",""
"os_fast_start_off","Inicio Rápido: No","","","",""
"os_notification_icon_colored","Plugin Notification Icon: Colored","","","faltante",""
"os_notification_icon_bw","Plugin Notification Icon: B/W","","","faltante",""
"os_instrumentswap","Cambio de Instrumento","","","",""
"os_pad_mapping","Configuración de entrada","","","",""
"os_additional_parts_on","Partes Extras: Sí","","","",""
"os_additional_parts_off","Partes Extras: No","","","",""
"os_rbguitar","Guitarra de Rock Band 1-3","","","",""
"os_rbdrums","Batería de Rock Band 1-3","","","",""
"os_rb4guitar","Guitarra de Rock Band 4","","","",""
"os_rb4drums","Batería de Rock Band 4","","","",""
"os_ghguitar","Guitarra de Guitar Hero","","","",""
"os_ghdrums","Batería de Guitar Hero","","","",""
"nice_solo","Nice","","","",""
"choke_solo","¡Vaya manqueada!","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
