"token","value","do not translate","character limit","comment","last updated"
"os_nohud_off","Performance Mode: OFF","","","",""
"os_menu_themer","Menu Theme...","","","",""
"os_resolution","Resolution...","","","",""
"os_source_in_song_select_on","Show Song Source in Music Library: ON","","","",""
"os_source_in_song_select_off","Show Song Source in Music Library: OFF","","","",""
"os_gpu_crash_fix_on","Fix GPU Driver Crash: ON","","","",""
"os_gpu_crash_fix_off","Fix GPU Driver Crash: OFF","","","",""
"os_static_menu_bg_on","Static Menu BG: ON","","","",""
"os_static_menu_bg_off","Static Menu BG: OFF","","","",""
"os_hud_vis_default","Visibility: DEFAULT","","","",""
"os_hud_vis_never","Visibility: NEVER","","","",""
"os_score_pos","Score Position","","","",""
"os_solo_pos","Solo Box Position","","","",""
"os_vox_solo_pos","Tambourine Percentage Position","","","",""
"os_countdown_pos","Break Countdown Position","","","",""
"os_vox_countdown_pos","Vocals Break Countdown Position","","","",""
"os_mtv","Song Title...","","","",""
"os_button_prompts","Button Prompts","","","",""
"os_mtv_vis_default","Visibility: DEFAULT","","","",""
"os_mtv_vis_always","Visibility: ALWAYS","","","",""
"os_mtv_pos","Position...","","","",""
"os_currentsong","Shown Info...","","","",""
"os_artist_on","Artist: ON","","","",""
"os_artist_off","Artist: OFF","","","",""
"os_famous_on","As Made Famous By: ON","","","",""
"os_famous_off","As Made Famous By: OFF","","","",""
"os_album_on","Album: ON","","","",""
"os_album_off","Album: OFF","","","",""
"os_year_on","Year: ON","","","",""
"os_year_off","Year: OFF","","","",""
"os_genre_on","Genre: ON","","","",""
"os_genre_off","Genre: OFF","","","",""
"os_source_on","Source: ON","","","",""
"os_source_off","Source: OFF","","","",""
"os_static_bg","Static Background","","","",""
"big_club_toys","The Big Cassettes","","","",""
"big_club_standard","The Club","","","",""
"big_club_industrial","The Industrial Club","","","",""
"big_club_arcade_empty","The Arcade (1 Audience Member)","","","",""
"small_club_industrial","The Barn","","","",""
"small_club_roadhouse","The Roadhouse","","","",""
"small_club_trashed","The Basement (Trashed)","","","",""
"arena","The Arena","","","",""
"big_club_practice","The Practice Area","","","",""
"os_screensaver","Screensaver","","","",""
"os_fast_start_on","Fast Start: ON","","","",""
"os_fast_start_off","Fast Start: OFF","","","",""
"os_notification_icon_colored","Plugin Notification Icon: Colored","","","",""
"os_notification_icon_bw","Plugin Notification Icon: B/W","","","",""
"os_instrumentswap","Change instrument type","","","",""
"os_pad_mapping","Change gamepad mapping","","","",""
"os_additional_parts_on","Non-Standard Parts: ON","","","",""
"os_additional_parts_off","Non-Standard Parts: OFF","","","",""
"os_rbguitar","Rock Band 1-3 Guitar","","","",""
"os_rbdrums","Rock Band 1-3 Drums","","","",""
"os_rb4guitar","Rock Band 4 Guitar","","","",""
"os_rb4drums","Rock Band 4 Drums","","","",""
"os_ghguitar","Guitar Hero Guitar","","","",""
"os_ghdrums","Guitar Hero Drums","","","",""
"nice_solo","Nice","","","",""
"choke_solo","Awesome Choke!","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
